Proteins,Eliot PAR, Eliot EXO,Clov PAR, Clov EXO,Tato PAR, Tato EXO,Samo PAR, Samo EXO,Flash PAR, Flash EXO,Gus 2 PAR, Gus 2 EXO, Fritz 2 PAR,Fritz 2 EXO,Tessa 2 PAR,Tessa 2 EXO,Fritz 1 PAR,Fritz 1 EXO,Tessa 1 PAR,Tessa 1 EXO,Gus 1 PAR,Gus 1 EXO
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250018400 PE=4 SV=1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250019200 PE=4 SV=1,2,0,2,0,1,0,1,0,3,0,0,0,1,0,3,0,1,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250022600 PE=4 SV=1,18,17,15,16,19,67,22,25,22,53,23,17,16,39,21,7,19,36,10,17,17,14
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250022700 PE=4 SV=1,25,15,23,0,23,5,31,0,25,4,24,15,29,5,33,5,32,0,24,15,30,12
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250024700 PE=4 SV=1,3,0,1,0,1,0,4,0,2,0,1,0,1,0,1,0,2,0,3,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250025000 PE=4 SV=1,1,0,4,0,3,0,5,0,2,0,1,0,1,0,4,0,1,0,5,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250027100 PE=4 SV=1,49,39,28,10,29,3,31,0,33,6,49,31,33,8,40,6,46,14,31,13,48,17
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250027800 PE=4 SV=1,6,0,7,0,7,0,10,0,6,0,8,4,6,0,11,3,10,0,3,0,7,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_250031400 PE=4 SV=1,31,20,31,11,41,13,27,22,71,33,45,37,41,29,66,8,37,42,31,17,49,16
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260007800 PE=4 SV=1,5,0,6,0,6,0,10,0,6,0,5,0,4,0,4,0,2,0,5,0,6,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260009400 PE=4 SV=1,2,0,1,0,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260009700 PE=4 SV=1,6,0,7,0,6,0,7,0,4,0,2,0,6,0,1,0,2,0,8,0,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260013300 PE=4 SV=1,6,4,6,0,0,0,7,3,3,0,1,0,8,0,1,0,9,0,3,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260015000 PE=4 SV=1,10,0,0,0,6,0,8,0,12,0,4,0,9,0,4,0,3,0,0,0,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260015400 PE=4 SV=1,13,5,6,0,5,0,12,0,10,5,8,8,7,5,11,0,11,0,9,3,9,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260016000 PE=4 SV=1,9,0,8,0,6,0,7,0,7,0,8,0,5,0,8,0,7,0,7,0,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260017500 PE=4 SV=1,0,0,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018000 PE=4 SV=2,2,0,5,0,3,0,4,0,3,0,1,0,4,0,0,0,4,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018100 PE=4 SV=1,17,0,12,0,11,0,14,0,10,0,6,0,14,0,5,0,14,0,10,0,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260018600 PE=4 SV=1,2,0,3,0,4,0,2,0,3,0,4,0,2,0,0,0,4,0,2,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260019400 PE=4 SV=1,0,22,0,0,0,0,0,0,0,3,0,14,0,5,0,0,0,0,0,4,0,4
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260019900 PE=4 SV=1,1,0,0,0,2,0,4,0,0,0,3,0,1,0,1,0,2,0,1,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260023900 PE=4 SV=1,6,0,4,0,5,0,5,0,5,0,4,0,5,0,3,0,2,0,5,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260024300 PE=4 SV=1,13,0,14,0,12,0,9,0,13,0,2,0,12,0,0,0,2,0,9,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260024900 PE=4 SV=1,76,83,52,40,40,110,52,57,38,99,31,167,40,95,13,9,61,82,47,109,43,99
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260027400 PE=4 SV=1,1,0,3,0,2,0,4,0,1,0,0,0,4,0,2,0,1,0,4,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260028100 PE=4 SV=1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260029700 PE=4 SV=1,5,0,1,0,4,0,3,0,4,0,0,0,6,0,0,0,0,0,2,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260031300 PE=4 SV=1,0,0,4,0,1,0,0,0,0,0,3,0,4,0,1,0,11,0,4,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_260032200 PE=4 SV=1,8,0,8,0,8,0,12,0,7,0,11,0,11,0,6,0,15,0,8,0,13,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270005600 PE=4 SV=1,7,0,8,0,5,0,9,0,5,0,3,5,7,0,3,0,6,0,11,0,6,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270009500 PE=4 SV=1,2,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270012500 PE=4 SV=1,5,4,7,0,4,2,9,0,7,0,3,0,5,0,10,0,8,0,6,0,10,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270013100 PE=4 SV=1,0,4,5,0,1,0,2,0,1,2,0,2,7,0,1,0,3,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270020200 PE=4 SV=1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270023800 PE=4 SV=1,17,0,15,0,13,0,17,0,16,0,18,0,17,0,16,0,19,0,13,0,16,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270024200 PE=4 SV=1,1,65,1,48,0,25,0,7,0,89,1,133,0,85,6,128,2,63,0,95,2,94
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_270028000 PE=4 SV=1,4,0,3,0,4,0,4,0,5,0,6,0,4,0,5,0,3,0,3,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280006700 PE=4 SV=1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280008300 PE=4 SV=1,4,0,4,0,1,0,0,0,0,0,1,0,2,0,1,0,3,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280015300 PE=4 SV=1,5,0,5,0,4,0,4,0,4,0,3,0,1,0,3,0,3,0,5,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_280021500 PE=4 SV=1,2,0,2,0,2,0,2,0,1,0,3,0,2,0,5,0,4,0,3,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290007000 PE=4 SV=1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290009200 PE=4 SV=1,2,0,2,0,0,0,2,0,2,0,1,0,3,0,2,0,2,0,0,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290009400 PE=4 SV=1,2,0,2,0,2,0,3,0,4,0,1,0,1,0,3,0,2,0,2,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290014300 PE=4 SV=1,9,7,10,0,5,0,12,0,15,0,27,12,14,5,21,0,21,0,13,10,19,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290017000 PE=4 SV=1,2,0,4,0,3,0,2,0,1,0,3,0,3,0,2,0,3,0,4,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290018900 PE=4 SV=1,1,0,1,0,1,0,4,0,2,0,3,0,2,0,3,0,2,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290021100 PE=4 SV=1,21,0,24,0,12,0,17,0,18,0,18,2,19,0,22,0,19,0,29,4,14,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290026300 PE=4 SV=1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290028300 PE=4 SV=1,3,0,5,0,1,0,3,0,4,0,1,0,0,0,1,0,0,0,2,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290029600 PE=4 SV=1,9,9,18,7,15,21,22,23,14,17,8,11,11,9,14,0,13,0,17,27,11,9
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290031000 PE=4 SV=1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290033600 PE=4 SV=1,1,0,1,0,2,0,1,0,4,0,1,0,0,0,1,0,2,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_290036500 PE=4 SV=1,3,0,4,0,5,0,2,0,2,0,8,3,4,0,5,0,7,0,7,0,6,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300005900 PE=4 SV=1,0,0,4,0,1,0,1,0,0,0,0,0,2,3,1,0,2,0,3,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300010700 PE=4 SV=1,0,4,3,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300016000 PE=4 SV=1,5,0,4,0,5,0,7,0,6,0,8,3,8,0,7,0,10,0,8,0,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300021000 PE=4 SV=1,1,0,3,0,2,0,3,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300027800 PE=4 SV=1,5,0,4,0,4,0,3,0,3,0,5,0,5,0,7,0,3,0,4,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300028700 PE=4 SV=1,2,0,4,0,81,0,2,0,4,0,2,0,2,0,26,0,4,0,2,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300029400 PE=4 SV=1,4,0,3,0,4,0,3,0,4,0,0,0,2,0,2,0,3,0,3,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300030800 PE=4 SV=1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300031900 PE=4 SV=1,0,0,1,0,1,3,1,0,2,4,0,2,2,5,0,0,3,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300033800 PE=4 SV=1,7,0,6,0,8,0,8,0,6,0,12,0,9,0,8,0,9,0,8,0,7,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300033900 PE=4 SV=1,8,8,5,0,10,0,9,0,7,7,9,12,6,6,9,0,13,6,6,0,9,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300034100 PE=4 SV=1,1,0,2,0,2,0,1,0,1,0,3,0,0,0,2,0,3,0,2,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_300042600 PE=4 SV=1,0,4,0,0,0,8,0,4,0,0,0,2,0,3,0,0,0,0,0,3,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310005700 PE=4 SV=1,13,0,24,0,18,0,14,0,24,0,31,0,25,0,27,0,26,0,18,0,24,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310013300 PE=4 SV=1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310016100 PE=4 SV=1,0,0,1,0,2,0,0,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310016200 PE=4 SV=1,3,0,5,0,4,0,4,0,3,0,0,0,0,0,1,0,1,0,4,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310016600 PE=4 SV=1,7,0,15,0,14,3,9,0,10,3,4,0,19,0,7,0,11,0,19,0,7,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310020800 PE=4 SV=1,1,0,3,0,5,0,2,0,8,0,0,0,4,0,1,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310024700 PE=4 SV=1,0,6,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310024800 PE=4 SV=1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310028800 PE=4 SV=1,0,8,0,0,0,4,0,3,0,6,0,9,0,2,0,0,0,0,0,11,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310029300 PE=4 SV=1,0,0,1,0,2,0,0,0,0,0,3,0,1,0,8,0,4,0,0,0,7,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310030900 PE=4 SV=1,2,0,5,0,3,0,5,0,4,0,1,6,6,0,1,0,4,0,6,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310032800 PE=4 SV=1,0,2,0,0,2,0,0,0,1,0,1,8,0,0,6,2,3,0,1,3,2,8
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310035500 PE=4 SV=1,1,0,1,0,2,0,1,0,1,0,5,0,0,0,5,0,0,0,3,0,6,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310037100 PE=4 SV=1,4,0,1,0,3,0,6,0,4,0,0,0,1,0,0,0,1,0,2,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310037400 PE=4 SV=1,1,0,1,0,2,0,1,0,5,0,0,0,2,0,3,0,1,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_310039300 PE=4 SV=1,1,0,1,0,4,0,0,0,0,0,4,0,1,0,5,0,3,0,1,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320006300 PE=4 SV=1,1,4,0,0,2,0,1,0,1,4,1,4,1,0,1,0,0,0,1,0,2,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320007000 PE=3 SV=1,6,0,15,0,11,0,8,0,15,0,5,0,10,0,2,0,7,0,8,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320007800 PE=4 SV=1,12,10,12,3,20,32,26,26,9,13,18,14,15,10,20,0,10,0,16,14,14,11
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320012700 PE=4 SV=1,8,0,6,0,11,4,10,5,10,0,1,0,8,0,3,0,5,0,3,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320013800 PE=4 SV=1,3,0,5,0,7,0,2,0,6,0,5,0,7,0,4,0,6,0,4,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320013900 PE=4 SV=1,46,6,45,6,52,9,57,9,52,12,43,9,48,7,41,0,56,8,46,7,36,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320017200 PE=4 SV=1,0,0,1,0,1,0,5,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320023300 PE=4 SV=1,1,0,3,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320025000 PE=4 SV=1,6,3,7,0,7,0,1,0,3,0,1,0,5,0,4,0,4,0,5,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320026000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320027600 PE=4 SV=1,26,19,45,7,37,13,38,7,36,17,26,16,65,11,19,0,34,12,24,10,22,8
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320033000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320037100 PE=4 SV=1,1,0,1,0,2,0,2,0,1,0,0,0,1,0,0,0,3,0,2,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320041400 PE=4 SV=1,2,0,7,0,3,0,6,0,3,0,2,0,5,0,1,0,1,0,3,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320043300 PE=4 SV=1,18,2,15,0,12,0,21,0,14,0,9,7,19,7,16,0,14,0,15,3,17,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_320043600 PE=4 SV=1,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330007200 PE=4 SV=1,0,21,0,0,0,0,0,0,0,3,0,19,0,0,0,2,0,0,0,0,0,4
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330012100 PE=4 SV=2,3,0,5,0,2,0,2,0,2,0,1,0,3,0,3,0,1,6,6,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330012400 PE=4 SV=1,0,0,4,0,1,0,1,0,2,0,2,0,1,0,2,0,1,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330016400 PE=4 SV=1,5,0,5,0,4,0,3,0,4,0,2,4,5,0,3,0,4,0,4,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330017100 PE=4 SV=1,2,0,3,0,0,0,4,0,0,0,1,0,4,0,1,0,3,0,3,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330017800 PE=4 SV=1,7,8,5,0,1,0,3,0,11,13,12,18,3,8,9,3,8,0,11,6,11,10
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330018200 PE=4 SV=1,12,0,12,0,9,0,18,0,9,0,23,0,12,0,18,0,21,0,8,9,12,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330019000 PE=4 SV=1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330022000 PE=4 SV=1,0,2,0,0,0,6,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330024600 PE=4 SV=1,5,0,8,0,5,0,13,0,13,0,5,0,7,0,5,0,3,0,6,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330026500 PE=4 SV=1,0,0,4,0,1,0,0,0,2,0,3,0,1,0,4,0,1,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330032700 PE=4 SV=1,7,0,10,0,6,0,7,0,13,0,4,0,0,0,5,0,3,0,11,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033400 PE=4 SV=1,7,0,6,0,6,0,5,0,10,0,1,0,12,0,5,0,3,0,9,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033600 PE=4 SV=1,4,7,3,3,1,3,2,4,1,0,2,8,1,6,11,2,6,4,5,8,3,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330033900 PE=4 SV=1,4,0,1,0,4,0,3,0,4,0,0,0,3,0,1,0,2,0,3,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330037300 PE=4 SV=1,3,3,3,0,2,0,3,0,3,0,3,0,1,0,3,0,0,0,5,4,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330038000 PE=4 SV=1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,2,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330039000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330039200 PE=4 SV=1,0,2,1,4,1,0,0,0,0,9,1,14,0,0,5,15,1,2,0,2,2,14
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_330039600 PE=4 SV=1,2,0,0,0,7,0,8,0,1,0,0,4,0,0,6,9,3,0,0,0,1,6
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340008900 PE=4 SV=1,5,3,7,0,1,0,14,0,2,3,3,4,9,3,4,0,1,0,5,0,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340009000 PE=4 SV=1,8,2,10,0,7,0,20,0,9,3,4,5,12,5,6,0,9,0,9,6,8,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340009200 PE=4 SV=1,2,0,3,0,2,0,0,0,1,0,1,0,4,0,3,0,2,0,2,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340010900 PE=4 SV=1,0,10,0,0,0,0,0,0,0,2,0,12,0,3,0,0,0,0,0,0,0,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340012900 PE=4 SV=1,3,0,3,0,1,0,1,0,6,0,2,0,3,0,3,0,0,0,3,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340014900 PE=4 SV=1,2,0,3,0,1,0,4,0,2,0,1,0,2,0,2,0,2,0,4,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340022100 PE=4 SV=1,4,9,5,3,5,22,7,20,4,11,5,18,4,13,4,2,3,0,7,29,3,14
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340026500 PE=4 SV=1,2,0,2,0,5,0,4,0,4,0,4,0,5,0,5,0,6,0,2,0,7,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340034000 PE=3 SV=1,11,0,13,3,7,11,9,5,9,0,6,0,11,5,3,0,10,8,13,2,6,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340038100 PE=4 SV=1,10,0,12,0,9,0,11,0,7,0,15,0,10,0,14,0,7,0,6,0,10,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340041500 PE=4 SV=1,5,0,1,0,1,0,4,0,3,0,1,0,6,0,1,0,2,0,2,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340043800 PE=4 SV=1,0,15,0,0,0,4,0,3,0,18,0,19,0,4,0,0,0,3,0,12,0,9
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340046600 PE=4 SV=1,0,2,0,0,0,0,0,0,0,4,0,2,0,5,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340047900 PE=4 SV=1,2,0,4,0,1,0,3,0,1,0,1,0,2,0,1,0,2,0,3,0,3,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340049800 PE=4 SV=1,14,0,9,0,10,0,8,0,9,0,8,0,7,0,10,0,7,0,9,0,11,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340052400 PE=4 SV=1,28,2,30,0,26,4,20,0,30,19,13,2,27,7,21,0,26,29,28,0,21,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006500 PE=4 SV=1,4,14,6,0,5,0,5,0,5,4,4,17,3,2,5,2,7,0,7,0,7,11
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006600 PE=3 SV=1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350008100 PE=4 SV=1,1,0,2,0,2,0,1,0,2,0,0,0,1,0,6,0,2,0,2,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350009100 PE=4 SV=1,0,0,3,0,1,0,3,0,2,0,2,0,2,0,1,0,0,0,1,0,2,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350011300 PE=4 SV=1,12,0,22,0,8,0,34,0,20,0,4,0,18,0,6,0,4,0,16,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350013300 PE=4 SV=1,0,0,4,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0
