"","x"
"457","Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012000 PE=3 SV=1"
"458","Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012100 PE=3 SV=1"
"459","Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012200 PE=3 SV=1"
"460","Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012300 PE=3 SV=1"
"461","Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012800 PE=3 SV=1"
"462","Elongation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250006400 PE=4 SV=1"
"463","Elongation_factor_P_(EF-P)_KOW-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250023100 PE=4 SV=1"
"464","Elongation_factor_Tu_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180012600 PE=3 SV=1"
"465","Emopamil_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017300 PE=4 SV=1"
"466","Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017400 PE=3 SV=1"
"467","Endoplasmic_reticulum_oxidoreductin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160021400 PE=3 SV=1"
"468","Endoribonuclease_L-PSP_(Pb5)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230007100 PE=4 SV=1"
"469","Engulfment_and_cell_motility_domain_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260023800 PE=4 SV=1"
"470","Enoyl-CoA hydratase/isomerase family protein,conserved OS=Leishmania infantum OX=5671 GN=LINF_350008700 PE=4 SV=1"
"471","Enoyl-CoA hydratase/isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290030800 PE=3 SV=1"
"472","Enoyl-CoA_hydratase/isomerase_family/2-enoyl-CoA_Hydratase_C-terminal_region_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041200 PE=4 SV=1"
"473","Enoyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250024400 PE=3 SV=1"
"474","Epsin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250012000 PE=4 SV=1"
"475","ER membrane protein complex subunit 1 OS=Leishmania infantum OX=5671 GN=LINF_340049100 PE=3 SV=2"
"476","ER membrane protein complex subunit 3 OS=Leishmania infantum OX=5671 GN=LINF_360008800 PE=3 SV=1"
"477","ERF1_domain_1/eRF1_domain_2/eRF1_domain_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024100 PE=3 SV=1"
"478","Ethanolamine-phosphate_cytidylyltransferase OS=Leishmania infantum OX=5671 GN=LINF_320014500 PE=3 SV=1"
"479","Eukaryotic translation initiation factor 2A OS=Leishmania infantum OX=5671 GN=LINF_160012300 PE=3 SV=1"
"480","Eukaryotic translation initiation factor 3 subunit 7-like protein OS=Leishmania infantum OX=5671 GN=LINF_300036000 PE=4 SV=1"
"481","Eukaryotic translation initiation factor 3 subunit E OS=Leishmania infantum OX=5671 GN=LINF_280029900 PE=3 SV=1"
"482","Eukaryotic translation initiation factor 3 subunit I OS=Leishmania infantum OX=5671 GN=LINF_360047700 PE=3 SV=1"
"483","Eukaryotic translation initiation factor 3 subunit L OS=Leishmania infantum OX=5671 GN=LINF_360007700 PE=3 SV=1"
"484","Eukaryotic translation initiation factor 5B OS=Leishmania infantum OX=5671 GN=LINF_330036700 PE=4 SV=1"
"485","Eukaryotic translation initiation factor 6 OS=Leishmania infantum OX=5671 GN=EIF6 PE=3 SV=1"
"486","Eukaryotic_initiation_factor_2a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030014900 PE=3 SV=1"
"487","Eukaryotic_protein_of_uncharacterized_function_(D UF866)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009300 PE=4 SV=1"
"488","Eukaryotic_release_factor_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017700 PE=4 SV=1"
"489","Eukaryotic_translation_initation_factor_4_gamma_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070500 PE=4 SV=1"
"490","Eukaryotic_translation_initiation_factor_1A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160006500 PE=3 SV=1"
"491","Eukaryotic_translation_initiation_factor_2_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080010700 PE=3 SV=1"
"492","Eukaryotic_translation_initiation_factor_3_subunit_8_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360081900 PE=4 SV=1"
"493","Eukaryotic_translation_initiation_factor_4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032200 PE=3 SV=1"
"494","Eukaryotic_translation_initiation_factor_5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340008600 PE=4 SV=1"
"495","Eukaryotic_translation_initiation_factor_eIF-4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270023100 PE=3 SV=1"
"496","Exosome subunit rrp6p homologue, putative OS=Leishmania infantum OX=5671 GN=LINF_340037400 PE=4 SV=1"
"497","Exosome_complex_exonuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140005000 PE=4 SV=1"
"498","Exosome_complex_exonuclease_RRP40_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040006300 PE=4 SV=1"
"499","Exosome_complex_exonuclease_RRP45_homolog_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220022100 PE=3 SV=1"
"500","FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350013000 PE=4 SV=1"
"501","FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350016600 PE=4 SV=1"
"502","Farnesyl pyrophosphate synthase OS=Leishmania infantum OX=5671 GN=FPPS PE=3 SV=1"
"503","Fatty acyl-CoA reductase OS=Leishmania infantum OX=5671 GN=LINF_240021900 PE=3 SV=1"
"504","Ferroxidase OS=Leishmania infantum OX=5671 GN=LINF_250016600 PE=3 SV=1"
"505","Fibrillarin OS=Leishmania infantum OX=5671 GN=LINF_360038800 PE=3 SV=1"
"506","Fibrillarin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190005800 PE=3 SV=1"
"507","Fip1_motif/Zinc_finger_C-x8-C-x5-C-x3-H_type_(And _similar)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050006800 PE=3 SV=1"
"508","Flagellar_Member_5 OS=Leishmania infantum OX=5671 GN=LINF_350029300 PE=4 SV=2"
"509","Formyltetrahydrofolate synthetase OS=Leishmania infantum OX=5671 GN=FTHS PE=3 SV=1"
"510","Fructose-bisphosphatase OS=Leishmania infantum OX=5671 GN=LINF_040016700 PE=3 SV=1"
"511","Fructose-bisphosphate aldolase OS=Leishmania infantum OX=5671 GN=ALD PE=3 SV=1"
"512","Fumarate hydratase OS=Leishmania infantum OX=5671 GN=fh PE=3 SV=1"
"513","Fumarate hydratase OS=Leishmania infantum OX=5671 GN=LINF_240007900 PE=3 SV=1"
"514","Fumarylacetoacetate_(FAA)_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350029700 PE=3 SV=1"
"515","G5-interacting_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320019400 PE=4 SV=1"
"516","GAF_domain/TIP41-like_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230025300 PE=3 SV=1"
"517","Galactokinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_350032700 PE=3 SV=1"
"518","Gamma-ECS OS=Leishmania infantum OX=5671 GN=GSH1 PE=3 SV=1"
"519","Gamma-soluble_NSF_attachment_protein_(SNAP-gamma)_(N-ethylmaleimide-sensitive_factor_attachment_protein_-_gamma)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340011000 PE=3 SV=1"
"520","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Leishmania infantum OX=5671 GN=LINF_350058100 PE=3 SV=1"
"521","GDP-mannose pyrophosphorylase OS=Leishmania infantum OX=5671 GN=GDPMP PE=4 SV=1"
"522","Gim5A_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350042400 PE=4 SV=1"
"523","Glucokinase OS=Leishmania infantum OX=5671 GN=LINF_360030300 PE=4 SV=1"
"524","Glucosamine 6-phosphate N-acetyltransferase OS=Leishmania infantum OX=5671 GN=LINF_280039500 PE=3 SV=1"
"525","Glucosamine-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=LINF_320040100 PE=3 SV=1"
"526","Glucose transporter, lmgt2 OS=Leishmania infantum OX=5671 GN=LINF_360072900 PE=3 SV=1"
"527","Glucose-6-phosphate 1-dehydrogenase OS=Leishmania infantum OX=5671 GN=g6pdh PE=3 SV=1"
"528","Glucose-6-phosphate 1-epimerase OS=Leishmania infantum OX=5671 GN=LINF_340040800 PE=3 SV=1"
"529","Glucose-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=PGI PE=3 SV=1"
"530","Glucosidase_II_beta_subunit-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014900 PE=4 SV=1"
"531","Glutamate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_280037300 PE=3 SV=1"
"532","Glutamate_5-kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260033000 PE=3 SV=1"
"533","Glutamate-5-semialdehyde dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_320038900 PE=3 SV=1"
"534","Glutamine amidotransferase OS=Leishmania infantum OX=5671 GN=LINF_220006100 PE=4 SV=1"
"535","Glutamine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_150022500 PE=3 SV=1"
"536","Glutaminyl_cyclase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050014700 PE=4 SV=1"
"537","Glutamyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_300038100 PE=3 SV=1"
"538","Glutaredoxin/Glutathione_S-transferase_-_N-terminal_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260020400 PE=4 SV=1"
"539","Glutathione peroxidase OS=Leishmania infantum OX=5671 GN=LINF_260013100 PE=3 SV=1"
"540","Glutathione synthetase OS=Leishmania infantum OX=5671 GN=LINF_140015200 PE=3 SV=1"
"541","Glutathione-S-transferase/glutaredoxin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140021300 PE=4 SV=1"
"542","Glyceraldehyde-3-phosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_300035000 PE=3 SV=1"
"543","Glyceraldehyde-3-phosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_360030600 PE=3 SV=1"
"544","Glyceraldehyde-3-phosphate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_350053100 PE=3 SV=1"
"545","Glycerol kinase OS=Leishmania infantum OX=5671 GN=LINF_350036100 PE=3 SV=1"
"546","Glycerol-3-phosphate acyl transferase OS=Leishmania infantum OX=5671 GN=GAT PE=4 SV=1"
"547","Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Leishmania infantum OX=5671 GN=GPD PE=3 SV=1"
"548","Glycerol-3-phosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_280007300 PE=3 SV=2"
"549","Glycerophosphoryl_diester_phosphodiesterase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280027700 PE=4 SV=1"
"550","Glycerophosphoryl_diester_phosphodiesterase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240027800 PE=4 SV=1"
"551","Glycine cleavage system H protein OS=Leishmania infantum OX=5671 GN=GCVH PE=3 SV=1"
"552","Glycine cleavage system P protein OS=Leishmania infantum OX=5671 GN=GCVP PE=3 SV=1"
"553","Glycogen synthase kinase 3 OS=Leishmania infantum OX=5671 GN=GSK3 PE=3 SV=1"
"554","Glycosomal membrane like protein OS=Leishmania infantum OX=5671 GN=LINF_240006200 PE=4 SV=1"
"555","Glycosomal membrane protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_280029300 PE=4 SV=1"
"556","Glycosomal_membrane_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280029400 PE=4 SV=1"
"557","Glycylpeptide N-tetradecanoyltransferase OS=Leishmania infantum OX=5671 GN=NMT PE=3 SV=1"
"558","Glyoxalase II OS=Leishmania infantum OX=5671 GN=Glo2 PE=1 SV=1"
"559","GMP reductase OS=Leishmania infantum OX=5671 GN=GMPR PE=3 SV=1"
"560","GMP-PDE_-_delta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270027100 PE=3 SV=1"
"561","Golgi_reassembly_stacking_protein_(GRASP_homologu e)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330032900 PE=4 SV=1"
"562","GPR1/FUN34/yaaH_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030008600 PE=3 SV=1"
"563","GPR1/FUN34/yaaH_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030008700 PE=3 SV=1"
"564","GRAM_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040007500 PE=4 SV=1"
"565","GRIP domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_11_0070 PE=4 SV=1"
"566","GrpE protein homolog OS=Leishmania infantum OX=5671 GN=LINF_300012500 PE=3 SV=1"
"567","GTPase_activating_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360075000 PE=4 SV=1"
"568","GTP-binding nuclear protein OS=Leishmania infantum OX=5671 GN=LINF_250020400 PE=3 SV=1"
"569","Guanine deaminase OS=Leishmania infantum OX=5671 GN=LINF_290014000 PE=3 SV=1"
"570","Guanine nucleotide-binding protein beta subunit-like protein OS=Leishmania infantum OX=5671 GN=LINF_240006000 PE=4 SV=1"
"571","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LACK1 PE=2 SV=1"
"572","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_060005200 PE=3 SV=1"
"573","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_080009200 PE=3 SV=1"
"574","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_100014500 PE=3 SV=1"
"575","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_140011200 PE=3 SV=1"
"576","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_180013500 PE=3 SV=2"
"577","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_190015400 PE=3 SV=1"
"578","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_190021900 PE=3 SV=1"
"579","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_210005900 PE=3 SV=1"
"580","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_240025100 PE=3 SV=1"
"581","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_250009500 PE=3 SV=1"
"582","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_270018900 PE=3 SV=1"
"583","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_280016800 PE=3 SV=1"
"584","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_290012400 PE=3 SV=1"
"585","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_300009200 PE=3 SV=1"
"586","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_300039800 PE=3 SV=1"
"587","Guanine nucleotide-binding protein subunit beta-like protein OS=Leishmania infantum OX=5671 GN=LINF_360051300 PE=3 SV=1"
"588","Guanylate kinase OS=Leishmania infantum OX=5671 GN=LINF_330018400 PE=3 SV=1"
"589","Guide_RNA_associated_protein_-_GAP2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220011900 PE=4 SV=1"
"590","Guide_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080016600 PE=4 SV=1"
"591","H(+)-exporting diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_310018700 PE=3 SV=1"
"592","H(+)-transporting two-sector ATPase OS=Leishmania infantum OX=5671 GN=LINF_340044200 PE=3 SV=1"
"593","H/ACA ribonucleoprotein complex subunit OS=Leishmania infantum OX=5671 GN=LINF_340050700 PE=3 SV=1"
"594","Haloacid dehalogenase-like hydrolase-like protein OS=Leishmania infantum OX=5671 GN=LINF_280019300 PE=4 SV=1"
"595","Haloacid_dehalogenase-like_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280019500 PE=4 SV=1"
"596","Haloacid_dehalogenase-like_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360069000 PE=4 SV=1"
"597","HD_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320032300 PE=4 SV=1"
"598","HEAT repeat-containing protein 1 OS=Leishmania infantum OX=5671 GN=LINF_260023200 PE=3 SV=1"
"599","Heat shock protein 70-related protein OS=Leishmania infantum OX=5671 GN=HSP70.4 PE=3 SV=1"
"600","Heat shock protein 83-1 OS=Leishmania infantum OX=5671 GN=HSP83-2 PE=3 SV=1"
"601","HEAT_repeats/HEAT_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011900 PE=4 SV=1"
"602","Heat_shock_70-related_protein_1_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280017800 PE=3 SV=1"
"603","Heat_shock_70-related_protein_1_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300030000 PE=3 SV=1"
"604","Heat_shock_70-related_protein_1_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300030200 PE=3 SV=1"
"605","Heat_shock_70-related_protein_1_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300030600 PE=3 SV=1"
"606","Heat_shock_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330033000 PE=3 SV=1"
"607","Heat_shock_protein_110_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180019100 PE=4 SV=1"
"608","Heat_shock_protein_20_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290032200 PE=3 SV=1"
"609","Heat_shock_protein_90_-_putative OS=Leishmania infantum OX=5671 GN=LPG3 PE=3 SV=1"
"610","Heat_shock_protein_DNAJ_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220005800 PE=4 SV=1"
"611","Heat_shock_protein_DNAJ_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270032200 PE=3 SV=1"
"612","Heat_shock_protein_Hsp20_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320028900 PE=4 SV=1"
"613","HEAT-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070012900 PE=3 SV=1"
"614","HECT-domain_(Ubiquitin-transferase)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320016600 PE=4 SV=1"
"615","Histidine_phosphatase_superfamily_(Branch_1)_-__p utative OS=Leishmania infantum OX=5671 GN=LINF_090011500 PE=4 SV=1"
"616","Histidine_phosphatase_superfamily_(Branch_1)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_350053800 PE=4 SV=1"
"617","Histidine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_300011400 PE=3 SV=1"
"618","Histone H2A OS=Leishmania infantum OX=5671 GN=LINF_210016700 PE=3 SV=1"
"619","Histone H2B OS=Leishmania infantum OX=5671 GN=LINF_170019500 PE=3 SV=1"
"620","Histone H2B OS=Leishmania infantum OX=5671 GN=LINF_190005200 PE=3 SV=1"
"621","Histone H3 OS=Leishmania infantum OX=5671 GN=LINF_100015400 PE=3 SV=1"
"622","Histone H4 OS=Leishmania infantum OX=5671 GN=LINF_020005100 PE=3 SV=1"
"623","Histone H4 OS=Leishmania infantum OX=5671 GN=LINF_060005000 PE=3 SV=1"
"624","HNRNPA OS=Leishmania infantum OX=5671 GN=LINF_330007800 PE=4 SV=1"
"625","Holliday-junction_resolvase-like_of_SPT6 /SH2_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330041100 PE=4 SV=1"
"626","Homoserine dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_070007800 PE=3 SV=1"
"627","Homoserine_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300036400 PE=3 SV=1"
"628","Hs1vu complex proteolytic subunit-like OS=Leishmania infantum OX=5671 GN=hslV PE=2 SV=1"
"629","Hsp70 OS=Leishmania infantum OX=5671 GN=LINF_280035000 PE=3 SV=1"
"630","Hsp70_protein/TPR_repeat /Tetratricopeptide_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290018300 PE=4 SV=1"
"631","Hsp70_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350052900 PE=4 SV=1"
"632","Hydrolase_-_alpha/beta_fold_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280021800 PE=4 SV=1"
"633","Hydrolase-like protein OS=Leishmania infantum OX=5671 GN=LINF_170017700 PE=4 SV=1"
"634","Hydrophilic acylated surface protein a OS=Leishmania infantum OX=5671 GN=HASPA1 PE=4 SV=1"
"635","Hypothetical predicted multipass transmembrane protein OS=Leishmania infantum OX=5671 GN=LINF_240016100 PE=4 SV=1"
"636","Hypothetical predicted multi-pass transmembrane protein OS=Leishmania infantum OX=5671 GN=LINF_240024500 PE=4 SV=1"
"637","Hypothetical predicted transmembrane protein OS=Leishmania infantum OX=5671 GN=LINF_240009200 PE=4 SV=2"
"638","Hypothetical_protein OS=Leishmania infantum OX=5671 GN=LINF_080015800 PE=4 SV=1"
"639","Hypothetical_protein OS=Leishmania infantum OX=5671 GN=LINF_190007900 PE=4 SV=1"
"640","Hypothetical_protein OS=Leishmania infantum OX=5671 GN=LINF_330005100 PE=4 SV=1"
"641","Hypothetical_protein_-__conserved OS=Leishmania infantum OX=5671 GN=LINF_090005200 PE=4 SV=1"
"642","Hypothetical_protein_-__conserved OS=Leishmania infantum OX=5671 GN=LINF_090011100 PE=4 SV=1"
"643","Hypothetical_protein_-__conserved OS=Leishmania infantum OX=5671 GN=LINF_090016900 PE=4 SV=1"
"644","Hypothetical_protein_-__conserved OS=Leishmania infantum OX=5671 GN=LINF_090018700 PE=4 SV=1"
"645","Hypothetical_protein_-__conserved OS=Leishmania infantum OX=5671 GN=LINF_090019000 PE=4 SV=1"
"646","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_010008300 PE=4 SV=1"
"647","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_010012500 PE=4 SV=1"
"648","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_020005900 PE=4 SV=1"
"649","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_020010800 PE=4 SV=1"
"650","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_030011300 PE=4 SV=1"
"651","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_030012600 PE=4 SV=1"
"652","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_030014700 PE=4 SV=1"
"653","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_040006400 PE=4 SV=1"
"654","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_040011400 PE=4 SV=1"
"655","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_040015000 PE=4 SV=1"
"656","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_050009500 PE=4 SV=1"
"657","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_050013000 PE=4 SV=1"
"658","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_050013400 PE=4 SV=1"
"659","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_060010500 PE=4 SV=1"
"660","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_060014900 PE=4 SV=1"
"661","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_060016800 PE=4 SV=2"
"662","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_070007400 PE=4 SV=1"
"663","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_070012000 PE=4 SV=1"
"664","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_070012200 PE=4 SV=1"
"665","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_070018100 PE=4 SV=1"
"666","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_080009500 PE=4 SV=1"
"667","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_080010800 PE=4 SV=1"
"668","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_100006200 PE=4 SV=1"
"669","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_100006500 PE=4 SV=1"
"670","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_100014100 PE=4 SV=1"
"671","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110007500 PE=4 SV=1"
"672","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110013200 PE=4 SV=1"
"673","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110013700 PE=4 SV=2"
"674","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110013800 PE=4 SV=1"
"675","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110016300 PE=4 SV=1"
"676","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_110017400 PE=4 SV=1"
"677","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_120009000 PE=4 SV=1"
"678","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_120011200 PE=4 SV=1"
"679","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130009500 PE=4 SV=1"
"680","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130011300 PE=4 SV=1"
"681","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130013700 PE=4 SV=2"
"682","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130014900 PE=4 SV=1"
"683","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130018500 PE=4 SV=1"
"684","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130018800 PE=4 SV=1"
"685","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_130019200 PE=4 SV=1"
"686","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_140007800 PE=4 SV=1"
"687","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_140009200 PE=4 SV=1"
"688","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_140014900 PE=4 SV=1"
"689","Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_140015800 PE=4 SV=1"
