Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_340052400 PE=4 SV=1,28,30,26,20,30,13,27,21,26,28,21
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006500 PE=4 SV=1,4,6,5,5,5,4,3,5,7,7,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350006600 PE=3 SV=1,1,0,0,2,1,0,0,0,0,0,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350008100 PE=4 SV=1,1,2,2,1,2,0,1,6,2,2,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350009100 PE=4 SV=1,0,3,1,3,2,2,2,1,0,1,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350011300 PE=4 SV=1,12,22,8,34,20,4,18,6,4,16,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350013300 PE=4 SV=1,0,4,0,3,0,2,2,0,2,0,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350014600 PE=4 SV=1,0,1,0,2,0,0,3,1,6,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350017800 PE=4 SV=1,0,1,3,3,2,0,0,2,1,0,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350019700 PE=4 SV=2,2,3,6,5,6,3,4,2,2,3,4
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350023200 PE=4 SV=1,11,8,10,3,22,6,9,5,8,10,15
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350025200 PE=4 SV=1,0,1,0,0,0,0,0,2,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350028300 PE=4 SV=1,1,1,1,3,0,2,0,2,3,1,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350033200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350035000 PE=4 SV=1,2,3,2,3,4,4,3,4,2,1,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350036000 PE=4 SV=1,0,1,0,0,3,2,1,2,2,1,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350036400 PE=4 SV=1,6,10,3,9,11,2,4,6,7,11,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350039100 PE=4 SV=1,17,21,17,14,20,15,19,14,9,17,12
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350044400 PE=4 SV=1,12,13,12,18,18,15,21,15,8,17,16
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350048500 PE=4 SV=1,5,7,7,11,6,6,8,7,7,5,8
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350050600 PE=4 SV=1,1,1,1,1,3,0,0,1,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350050900 PE=4 SV=1,1,2,0,1,0,1,3,2,0,1,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350054000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350056200 PE=4 SV=1,4,0,0,0,3,1,0,0,2,4,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_350058400 PE=4 SV=1,1,0,0,1,4,4,3,2,2,0,2
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360005200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360009700 PE=4 SV=1,0,0,0,0,2,3,0,1,0,0,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360010100 PE=4 SV=1,8,7,7,12,9,9,10,15,11,9,12
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360013100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360015500 PE=4 SV=1,4,7,4,4,8,3,6,5,5,4,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017100 PE=4 SV=1,7,9,7,18,8,4,6,8,8,10,5
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360017500 PE=4 SV=1,2,2,1,5,1,1,4,0,1,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360023900 PE=4 SV=1,6,7,5,6,7,4,10,4,7,9,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360029800 PE=4 SV=1,12,8,7,13,9,8,14,5,16,10,15
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360034600 PE=4 SV=1,8,11,5,5,8,5,9,5,3,10,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360042400 PE=4 SV=1,5,4,6,12,5,10,7,13,5,9,9
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360047800 PE=4 SV=1,1,1,0,0,2,0,1,0,2,3,1
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360049500 PE=4 SV=1,13,15,10,12,16,9,17,9,16,20,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360052000 PE=4 SV=1,1,2,3,0,10,1,0,0,0,5,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360053900 PE=4 SV=1,16,26,19,24,17,31,19,30,24,25,26
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360054500 PE=4 SV=2,5,5,3,6,4,3,7,5,3,4,4
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360055600 PE=4 SV=1,3,8,4,5,3,4,5,3,3,7,3
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060500 PE=4 SV=1,122,125,117,103,112,120,132,128,110,97,129
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360060800 PE=4 SV=1,3,5,7,7,11,6,11,2,12,6,7
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360065500 PE=4 SV=1,1,1,1,0,0,0,1,2,0,1,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360066800 PE=4 SV=2,7,8,5,8,11,4,7,1,3,11,8
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360073900 PE=4 SV=1,1,1,2,2,1,0,0,1,0,0,0
Hypothetical_protein_-_conserved OS=Leishmania infantum OX=5671 GN=LINF_360075800 PE=4 SV=1,6,5,4,4,4,8,6,7,8,5,7
Hypoxanthine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=HGPRT PE=3 SV=1,11,6,5,8,10,5,7,6,3,4,2
I/6 autoantigen-like protein OS=Leishmania infantum OX=5671 GN=LINF_220020700 PE=4 SV=1,9,9,6,1,5,8,6,16,9,13,11
Importin subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_300016800 PE=3 SV=1,34,38,31,33,30,24,38,27,23,34,32
Importin_1 OS=Leishmania infantum OX=5671 GN=LINF_350028600 PE=4 SV=1,12,16,10,6,20,8,16,7,12,22,8
Importin_beta-1_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340010100 PE=4 SV=1,23,28,25,25,29,17,22,20,25,26,20
Inhibitor of cysteine peptidase OS=Leishmania infantum OX=5671 GN=LINF_240023700 PE=4 SV=1,2,1,0,2,4,4,3,2,3,1,2
Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_030014200 PE=3 SV=1,1,0,4,2,3,2,4,4,3,2,5
Inorganic diphosphatase OS=Leishmania infantum OX=5671 GN=LINF_110007000 PE=3 SV=2,15,19,10,10,8,16,14,10,15,21,14
Inosine triphosphate pyrophosphatase OS=Leishmania infantum OX=5671 GN=LINF_360055700 PE=3 SV=1,2,1,2,1,2,5,1,5,6,4,6
Inosine-5'-monophosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190022000 PE=3 SV=1,22,22,19,38,23,10,38,5,20,21,4
Inosine-adenosine-guanosine-nucleosidehydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290035800 PE=3 SV=1,8,15,15,12,12,2,13,5,11,12,6
Inosine-guanine_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=nh2 PE=4 SV=1,17,25,17,16,18,16,27,19,29,19,14
Inosine-guanosine transporter OS=Leishmania infantum OX=5671 GN=NT2 PE=3 SV=1,1,2,0,11,0,0,0,0,6,0,0
Inosine-uridine preferring nucleoside hydrolase OS=Leishmania infantum OX=5671 GN=iunh PE=3 SV=1,52,43,79,80,94,62,97,55,103,35,50
Inosine-uridine_preferring_nucleoside_hydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260008400 PE=3 SV=1,5,3,3,6,3,2,3,1,4,3,3
Inositol phosphosphingolipid phospholipase C-Like OS=Leishmania infantum OX=5671 GN=ISCL PE=3 SV=1,21,18,30,10,26,12,20,19,28,20,17
Inositol-1_-4_-5-trisphosphate_(IP3)_5 -phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110016100 PE=4 SV=1,1,2,2,1,0,5,2,1,2,3,4
Inositol-3-phosphate synthase OS=Leishmania infantum OX=5671 GN=INO1 PE=3 SV=1,36,33,35,41,22,33,54,31,44,32,56
Intergrin_alpha_chain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310006100 PE=4 SV=1,2,3,3,3,4,1,4,2,0,2,3
Intraflagellar transport protein 122 homolog OS=Leishmania infantum OX=5671 GN=LINF_360015800 PE=4 SV=1,10,9,4,4,3,2,7,9,11,6,5
Intraflagellar transport protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_220019800 PE=4 SV=1,0,1,1,1,0,2,2,1,2,1,3
Intraflagellar_transport_complex_B_protein_46_C_t erminal_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300022600 PE=3 SV=1,4,6,4,4,4,4,7,4,5,5,6
Intraflagellar_transport_protein_140_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320008200 PE=4 SV=1,16,12,12,5,10,6,11,13,11,14,11
Intraflagellar_transport_protein_172_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210017400 PE=4 SV=1,37,37,29,26,31,24,33,32,40,42,27
Intraflagellar_transport_protein_43_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270026700 PE=4 SV=1,2,3,2,0,2,1,2,4,0,3,4
Intraflagellar_transport_protein_52_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008100 PE=4 SV=2,14,19,23,17,13,9,15,20,18,19,15
Intraflagellar_transport_protein_57/55_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330013100 PE=3 SV=1,1,5,1,2,2,1,2,4,1,5,0
Intraflagellar_transport_protein_80_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008200 PE=4 SV=1,9,12,10,9,9,2,8,9,9,11,7
Intraflagellar_transport_protein_81_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340007400 PE=4 SV=1,0,5,2,1,5,11,4,9,4,4,3
Intraflagellar_transport_protein_88_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017700 PE=4 SV=1,3,10,9,4,3,3,6,6,11,7,2
Iron/zinc transporter protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_310039500 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Iron-binding_zinc_finger_CDGSH_type_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018600 PE=4 SV=1,1,2,3,2,5,0,4,2,5,1,3
Iron-sulfur_assembly_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160013800 PE=4 SV=2,1,2,2,2,0,1,1,2,2,0,2
Iron-sulfur_assembly_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350018300 PE=4 SV=1,1,2,0,0,1,0,0,0,0,2,0
Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_100008300 PE=3 SV=1,162,136,149,126,140,168,159,157,167,135,171
Isocitrate dehydrogenase [NADP] OS=Leishmania infantum OX=5671 GN=LINF_330034700 PE=3 SV=1,17,8,20,15,22,9,14,10,12,10,13
Isoleucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=ILERS PE=3 SV=1,94,70,60,53,69,58,65,50,106,79,71
Isopentenyl-diphosphate_delta-isomerase_(Type_II)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058900 PE=3 SV=1,8,7,8,7,10,10,18,6,9,7,7
Isoprenylcysteine_alpha-carbonyl_methylesterase_-_putative OS=Leishmania infantum OX=5671 GN=LiISP3 PE=4 SV=1,3,10,6,5,4,2,6,5,8,4,0
Isovaleryl-coA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015600 PE=3 SV=1,7,5,6,3,5,7,12,5,6,8,10
J domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_36_1380 PE=4 SV=1,1,2,1,2,0,1,5,0,3,1,0
KH_domain/Domain_of_uncharacterized_function_(DUF 1771)/Smr_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036800 PE=4 SV=1,1,3,13,1,2,1,6,1,2,2,2
KH_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270019700 PE=4 SV=1,55,52,50,57,59,60,59,60,58,49,61
Kinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_030010900 PE=3 SV=1,1,0,2,0,1,2,0,2,1,1,3
Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300020100 PE=3 SV=1,2,3,1,0,3,1,4,1,6,2,3
Kinesin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350026000 PE=3 SV=1,22,22,26,18,40,25,29,36,31,17,31
Kinesin-13_6_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350052800 PE=3 SV=1,8,5,2,3,7,7,8,8,3,6,5
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_130021600 PE=3 SV=1,8,4,10,1,5,1,2,4,5,8,1
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_170015000 PE=3 SV=1,0,3,4,0,0,4,0,4,0,0,6
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_190007400 PE=3 SV=1,21,22,16,13,15,22,25,28,26,17,23
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_230013200 PE=3 SV=1,32,17,24,16,29,25,10,23,18,25,22
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_240011400 PE=3 SV=1,17,14,18,6,23,5,11,6,7,19,9
Kinesin-like protein OS=Leishmania infantum OX=5671 GN=LINF_300008500 PE=3 SV=1,17,15,12,9,15,12,17,21,26,15,16
Kinesin-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360061000 PE=3 SV=1,24,15,15,11,21,14,7,17,25,33,16
Kinetoplast_polyadenylation/uridylation_factor_1 OS=Leishmania infantum OX=5671 GN=LINF_180005000 PE=4 SV=1,7,2,10,8,17,2,4,10,7,0,8
Kinetoplast-associated_protein_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320045000 PE=4 SV=1,2,1,3,1,1,0,1,0,1,1,1
Kinetoplast-associated_protein_p18-2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320044900 PE=4 SV=1,0,0,0,5,1,1,0,1,0,0,0
Kinetoplastid membrane protein-11 OS=Leishmania infantum OX=5671 GN=KMP11-1 PE=3 SV=1,12,26,7,9,13,8,12,10,13,14,11
Kynureninase OS=Leishmania infantum OX=5671 GN=KYNU PE=3 SV=1,11,5,15,13,9,11,14,4,15,3,10
L-2-hydroxyglutarate_dehydrogenase_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360064300 PE=4 SV=1,3,4,4,1,4,3,2,1,6,8,5
La_RNA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210011000 PE=4 SV=1,63,48,53,52,58,52,60,53,59,52,43
Lanosterol_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060012100 PE=3 SV=1,29,6,9,9,6,8,20,14,58,21,18
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-1 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-2 PE=3 SV=1,66,57,49,56,53,40,27,30,46,74,41
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-3 PE=3 SV=2,44,37,42,34,33,28,16,24,28,49,25
Leishmanolysin OS=Leishmania infantum OX=5671 GN=GP63-4 PE=3 SV=2,45,44,50,38,40,28,20,27,35,51,30
LETM1_and_EF-hand_domain-containing_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014900 PE=4 SV=1,13,4,6,9,13,12,11,10,16,10,19
Leucine carboxyl methyltransferase 1 OS=Leishmania infantum OX=5671 GN=LINF_360005800 PE=3 SV=1,15,9,10,5,10,5,15,6,11,8,7
Leucine carboxyl methyltransferase 2 OS=Leishmania infantum OX=5671 GN=LINF_350034700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leucine_rich_repeat/Leucine_Rich_Repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060015500 PE=4 SV=1,2,2,1,0,1,0,0,1,4,5,0
Leucine_Rich_repeat/Leucine_Rich_Repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230025600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Leucine_Rich_Repeat/Leucine_Rich_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280026400 PE=4 SV=1,1,0,8,0,3,0,0,3,0,0,0
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006600 PE=4 SV=1,5,4,4,7,7,9,7,7,3,4,8
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320037600 PE=4 SV=1,3,4,0,1,4,1,6,1,3,4,1
Leucine-rich_repeat_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340011100 PE=4 SV=1,14,19,18,13,18,8,15,14,14,11,17
Leucyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_130016000 PE=3 SV=1,46,33,38,43,51,27,56,19,26,42,23
LicD_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340042800 PE=4 SV=1,2,0,1,4,0,1,2,0,3,0,2
Lipophosphoglycan biosynthetic protein (Lpg2) OS=Leishmania infantum OX=5671 GN=LPG2 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010009800 PE=4 SV=1,41,45,41,44,43,29,51,43,41,54,67
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010000 PE=4 SV=1,19,20,19,14,15,8,18,15,16,24,29
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010010300 PE=4 SV=1,11,26,10,9,8,5,11,9,4,15,18
Long-chain-fatty-acid-CoA_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030007100 PE=4 SV=1,16,20,19,18,16,5,18,9,11,15,6
LSD1_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310020700 PE=4 SV=1,3,3,1,1,6,0,3,2,3,0,0
LSM_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050010500 PE=4 SV=2,4,2,3,4,2,2,2,4,6,4,2
Lsm12_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350058500 PE=4 SV=1,15,15,31,31,20,7,12,6,16,7,6
Lsm5p_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300035600 PE=4 SV=1,1,2,2,2,2,0,3,1,1,3,1
Lysine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_150007600 PE=3 SV=1,13,18,17,30,54,54,22,51,16,14,34
Lysophospholipase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240024400 PE=4 SV=1,26,21,19,20,23,23,27,21,28,21,30
Macro_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041300 PE=4 SV=1,2,0,0,1,0,1,2,1,0,0,2
Macrophage migration inhibitory factor-like protein OS=Leishmania infantum OX=5671 GN=MIF2 PE=3 SV=1,8,9,10,7,10,9,9,11,14,9,9
Maf-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320016000 PE=4 SV=1,2,0,1,1,4,1,3,0,0,2,1
Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210006100 PE=4 SV=1,4,2,6,2,2,0,1,3,0,2,1
Major_Facilitator_Superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310012900 PE=4 SV=1,5,0,2,3,6,8,5,0,3,0,6
Mak10_subunit_-_NatC_N(Alpha )-terminal_acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170016800 PE=3 SV=1,16,9,22,17,13,15,16,12,6,6,14
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=cMDH PE=3 SV=1,32,28,32,20,31,29,35,18,38,16,33
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_190012000 PE=3 SV=1,69,94,117,93,84,79,122,90,105,104,67
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006300 PE=3 SV=2,1,2,3,4,4,4,2,0,1,2,5
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006400 PE=3 SV=1,68,65,64,69,56,65,78,72,76,63,69
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_340006500 PE=3 SV=1,2,3,3,1,6,9,6,7,4,3,11
Malate dehydrogenase OS=Leishmania infantum OX=5671 GN=mMDH PE=3 SV=1,44,38,39,43,31,37,49,41,52,40,41
Malic enzyme OS=Leishmania infantum OX=5671 GN=LINF_240012700 PE=3 SV=1,32,53,52,42,57,47,47,59,45,51,45
Malic_enzyme_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240012800 PE=3 SV=1,31,25,16,21,33,19,34,12,25,20,23
Mannose-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=mpi PE=3 SV=1,13,25,26,19,27,14,24,17,26,26,21
Mannose-specific_lectin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011600 PE=4 SV=1,15,11,12,13,17,11,13,14,16,16,15
Mannosyl_oligosaccharide_glucosidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280028700 PE=3 SV=1,0,5,4,8,3,1,7,2,4,1,2
MAP_kinase_kinase-like_protein OS=Leishmania infantum OX=5671 GN=LINF_350045500 PE=4 SV=1,6,6,9,6,10,3,6,8,3,7,5
Membrane-bound acid phosphatase 2 OS=Leishmania infantum OX=5671 GN=MBAP2 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Membrane-bound acid phosphatase OS=Leishmania infantum OX=5671 GN=MBAP PE=4 SV=1,0,0,1,0,0,4,1,4,1,0,3
Membrane-bound_acid_phosphatase_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360033700 PE=4 SV=1,0,0,0,2,0,0,0,0,0,0,0
Memo-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360017400 PE=3 SV=1,4,5,6,7,5,4,5,6,7,6,6
META_domain_containing_protein OS=Leishmania infantum OX=5671 GN=META2 PE=4 SV=1,7,14,15,1,9,14,14,29,7,7,11
META_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=META1 PE=4 SV=1,2,4,7,12,8,3,11,7,7,0,2
Metal-ion_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310032200 PE=4 SV=1,6,7,11,5,7,1,4,3,2,2,1
Metallo-beta-lactamase family-like protein OS=Leishmania infantum OX=5671 GN=LINF_210012300 PE=3 SV=1,6,4,2,4,4,1,6,4,7,4,2
Metallo-beta-lactamase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041100 PE=3 SV=1,16,16,15,17,14,17,17,16,14,17,17
Metallo-peptidase_-_Clan_MA(E)_Family_M41 OS=Leishmania infantum OX=5671 GN=LINF_360035000 PE=3 SV=1,3,0,2,8,4,3,2,2,3,0,2
Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_010011600 PE=3 SV=1,14,12,12,14,16,15,15,11,17,12,13
Metallo-peptidase_-_Clan_ME_-_Family_M16 OS=Leishmania infantum OX=5671 GN=LINF_330035400 PE=4 SV=1,6,6,5,5,9,7,9,5,7,5,4
Metallo-peptidase_-_Clan_ME_-_Family_M16C OS=Leishmania infantum OX=5671 GN=LINF_070006000 PE=3 SV=2,25,22,22,25,25,19,33,21,21,26,21
Metallo-peptidase_-_Clan_MF_-_Family_M17 OS=Leishmania infantum OX=5671 GN=LINF_330034900 PE=3 SV=1,22,25,25,18,25,14,22,22,35,28,21
Metallo-peptidase_-_Clan_MG_-_Family_M24 OS=Leishmania infantum OX=5671 GN=LINF_190006400 PE=3 SV=1,19,31,22,27,34,38,27,29,39,21,31
Metallopeptidase_family_M24_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130011700 PE=3 SV=1,11,4,6,9,6,5,7,4,3,5,5
Metalloprotease_M41_FtsH_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320020800 PE=4 SV=2,35,36,42,58,42,28,40,36,45,48,32
Methenyltetrahydrofolate cyclohydrolase OS=Leishmania infantum OX=5671 GN=LINF_260008200 PE=3 SV=1,34,23,20,26,23,13,20,12,27,24,19
Methionine aminopeptidase 2 OS=Leishmania infantum OX=5671 GN=LINF_210014700 PE=3 SV=1,1,6,2,4,2,2,5,1,3,3,1
Methionine aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_190010300 PE=3 SV=1,10,14,5,6,8,3,11,7,7,11,7
Methionyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_210013900 PE=3 SV=1,41,32,27,36,38,46,51,37,79,37,52
Methylenetetrahydrofolate reductase (NAD(P)H) OS=Leishmania infantum OX=5671 GN=LINF_360075200 PE=3 SV=1,11,4,4,5,9,8,5,9,8,2,11
Methylmalonyl-coa epimerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_260005200 PE=3 SV=1,5,0,4,2,2,6,2,3,6,6,7
Methylmalonyl-CoA mutase OS=Leishmania infantum OX=5671 GN=LINF_270008100 PE=3 SV=1,9,12,19,3,7,8,7,13,20,15,19
Methylthioribose-1-phosphate isomerase OS=Leishmania infantum OX=5671 GN=LinJ36.0740 PE=3 SV=1,9,9,6,8,7,8,6,4,8,9,9
Methyltransf_25 domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_28_2310 PE=4 SV=1,0,0,0,2,0,1,0,0,1,0,0
